	n_estimators	target
0	261	Pitpnm3
0	25	Ttn
0	227	B3galt6
0	301	Afg3l2
0	216	Hibadh
0	372	Dnm1l
0	167	Gpr83
0	182	Uqcc1
0	232	Cdv3
0	68	Egfr
0	161	Esrrg
0	265	Pank1
0	346	Polr2m
0	161	9630033F20Rik
0	316	Adrbk2
0	414	Syne1_loc2
0	255	Ctnna2
0	320	Arl5a
0	242	Gjd2
0	389	Pebp1
0	184	Adc
0	306	Cxx1b
0	317	Gnal
0	266	Cdc27
0	221	Arhgef10l
0	262	Nr1d2
0	411	Elavl4
0	364	Cntnap1
0	352	Cops7a
0	249	Tmem184b
0	200	Cerk
0	372	Map1lc3a
0	234	Elof1
0	350	Pitpna
0	332	Faim2
0	266	Slc45a1
0	384	Kcnc1
0	269	Maneal
0	351	Psmb4
0	350	B4galt5
0	348	Impad1
0	416	Myo5a
0	291	Nipal3
0	349	Mafb
0	428	Dynll2
0	488	Gnas
0	436	Ctsd
0	427	Gng3
0	390	Slc38a1
0	493	Kif1a
0	472	Pgam1
0	547	Tcf25
0	506	Stxbp1
0	446	Rims2
0	498	Scn1a
0	408	Efhd2
0	306	Lgmn
0	296	Vamp1
0	356	Stox2
0	384	Rnf11
0	303	Plcb4
0	500	Tspyl4
0	349	Lynx1
0	303	Capns1
0	393	Ttyh3
0	260	Vegfb
0	253	Tiam1
0	257	Bcap29
0	109	Haus4
0	412	Cxx1c
0	452	Slc32a1
0	473	Gas6
0	469	Prkar1b
0	449	Scoc
0	392	Ell2
0	230	Adam9
0	399	Pdxk
0	390	Nat8l
0	338	Dnajb1
0	436	Syngr1
0	437	Bex2
0	654	Aldoa
0	419	Elavl2
0	302	Cand1
0	160	Orc5
0	257	Srrm4
0	128	Rnf217
0	470	Dlx1os
0	421	Atp6v0d1
0	491	Pkm
0	173	Pacsin2
0	311	Rab5b
0	318	Cdr1
0	175	Dleu7
0	420	Rufy3
0	468	Sult4a1
0	446	Phyhipl
0	341	Aldh5a1
0	290	Slc1a4
0	294	Kbtbd2
0	389	Etl4
0	314	Cpeb3
0	332	Shroom2
0	227	Gapdh
0	362	Adarb1
0	441	Atp6v1b2
0	189	Fundc1
0	388	Rangap1
0	246	LOC106740
0	590	Rcan2
0	446	Mllt11
0	437	Rap1gds1
0	194	Zc4h2
0	486	Cplx1
0	392	Kcna6
0	290	Arnt2
0	166	AA465934
0	392	Vdac1
0	437	Slc25a3
0	456	Abat
0	242	Lrrc3b
0	421	Rpl3
0	476	Kcna2
0	458	Pclo
0	250	Ankib1
0	498	Hspa8
0	423	Lpgat1
0	348	Adcyap1r1
0	308	Cltb
0	356	Hdgfrp3
0	244	Fam102b
0	259	Hccs
0	319	Vwc2
0	196	Lrtm2
0	291	Asic2
0	282	Tbc1d9
0	492	Klc1
0	246	Lpin1
0	454	Ndn
0	505	Rpl41
0	381	Ids
0	383	Sfxn1
0	232	Dnlz
0	391	Fam63b
0	348	Neto2
0	354	Grip1
0	344	Abhd8
0	527	Ctps
0	484	Ntrk2
0	485	Cspg5
0	523	Syt1
0	358	Msi2
0	388	Gm13363
0	413	Gabarapl1
0	456	Eef1a2
0	402	Uba1
0	341	Fam163b
0	339	Mvb12b
0	335	Got2
0	444	Scg3
0	268	Ipo4
0	539	Ndrg4
0	447	Srcin1
0	259	Armcx2
0	302	Lbh
0	292	Smyd2
0	316	Uggt1
0	204	Ppip5k2
0	531	Sv2a
0	400	Wbp2
0	302	Stau2
0	493	Rab3a
0	410	Clip3
0	361	Smap1
0	320	Atcay
0	298	Prune2
0	268	Polr3h
0	278	Zfp941
0	506	Impact
0	303	Pcsk1n
0	359	Pdxp
0	448	Rasgrf2
0	294	Bcat1
0	491	Celf4
0	424	Slc6a17
0	205	Nova1
0	466	Gnb1
0	403	Cend1
0	405	Pten
0	526	Gm6682
0	325	Cep170b
0	247	Hdac6
0	444	Syp
0	289	Fam3c
0	288	Steap2
0	369	Pink1
0	333	Apba1
0	349	Fam149a
0	455	Atp6v0e2
0	441	Rnf14
0	443	Oxct1
0	277	Cxxc4
0	431	Rps26
0	44	Mcm6
0	523	Atp6v0c-ps2
0	466	Vamp2
0	257	Slc2a3
0	318	Ppm1h
0	359	Rcn2
0	181	Nipal2
0	332	Bex1
0	191	Ide
0	265	Impdh1
0	295	Alg2
0	382	Sorbs1
0	188	Grb10
0	542	Rab6b
0	388	Rusc1
0	255	Aktip
0	373	Gdap1
0	243	Uri1
0	326	Fbxo9
0	304	Capn2
0	286	Slc25a46
0	352	Fam168b
0	427	Glud1
0	245	2900056M20Rik
0	371	Tceal5
0	214	Mbtps2
0	449	Purb
0	264	Trove2
0	186	Sipa1l2
0	409	Reep5
0	252	Bcar1
0	384	Clstn3
0	254	Rtca
0	340	Azin1
0	323	Slc23a2
0	511	Atp6v1a
0	170	Pcgf2
0	534	Ywhag
0	295	Elovl4
0	246	Snx15
0	162	Mepce
0	203	Rnd3
0	284	Eif2s3x
0	415	Eif4g2
0	269	Ube2e1
0	305	Tmem55b
0	330	Gria4
0	336	Scai
0	459	Rps27a
0	527	Ubc
0	222	Sgpp1
0	475	Rnf187
0	161	Slc45a4
0	486	Snurf
0	220	Chst10
0	335	Mfn2
0	43	Thbs2
0	375	Peg13
0	461	Sqstm1
0	306	Usp32
0	338	Setd7
0	269	Ankrd50
0	281	Map3k9
0	397	Cltc
0	267	Snx16
0	406	Epb4.1l1
0	222	A330050F15Rik
0	278	Osbpl3
0	147	Csk
0	255	Rab21
0	171	Rps6ka6
0	428	Chchd10
0	111	Col26a1
0	299	Auh
0	387	Gnl3l
0	149	Clasrp
0	291	Xpr1
0	155	Zfp811
0	330	Dirc2
0	439	Cacnb4
0	242	Kcnab3
0	290	Anxa7
0	234	Coprs
0	302	Igsf3
0	222	Gm20300
0	195	Uba6
0	304	Abcd2
0	387	Rgs17
0	293	Tnfaip1
0	151	Abcb7
0	190	Tet1
0	499	Tspan3
0	403	Usp22
0	349	Hipk1
0	335	Fam73a
0	479	Maf
0	131	Ndufaf6
0	435	Cacng2
0	325	Btbd1
0	349	Hivep1
0	369	Magi1
0	358	Acly
0	491	Aplp2
0	202	Tsc22d3
0	349	Bend6
0	198	Crlf2
0	357	Arl4c
0	250	Cul4b
0	282	Dlat
0	259	Zfp385b
0	247	Flywch2
0	505	Mgll
0	183	2310057M21Rik
0	353	Scrt1
0	314	Trnp1
0	253	Rmnd5a
0	189	2010107G23Rik
0	426	Lars2
0	245	Fbxo28
0	410	Nrip3
0	297	Efr3b
0	296	Aldoart1
0	226	Dmap1
0	324	Slc2a13
0	274	Gpr162
0	273	Tmem56
0	300	Ubash3b
0	200	2310003H01Rik
0	206	Ttc39b
0	222	Ap2a1
0	331	Kcnq5
0	466	Rpl9
0	144	Tfcp2
0	121	Col14a1
0	262	Sp8
0	269	Rgs10
0	309	Pnoc
0	198	Snx7
0	199	Znhit1
0	243	Vwa5a
0	282	Cpne4
0	183	Cidea
0	219	Gm5607
0	104	Mrgpre
0	304	Unc5d
0	276	Ptchd4
0	254	Kcnc4
0	239	Mtss1
0	299	Sae1
0	229	Sox1
0	315	Lrp8
0	137	Mcf2
0	248	Diras1
0	335	Ppp1r2
0	246	Gm14204
0	320	Tox3
0	247	Alk
0	280	Fam46a
0	61	Pvrl2
0	236	Grem2
0	236	Fam98a
0	176	Tex9
0	218	Fmo1
0	330	Mpdz
0	312	Asph
0	286	Lrrc4
0	232	Zfp9
0	254	Tbc1d30
0	312	Atat1
0	255	Vps33a
0	144	Sv2c
0	216	Lats2
0	540	Sema5a
0	278	Ptchd2
0	235	Kcns3
0	246	Crispld1
0	175	Zfp362
0	183	Tnnt1
0	240	Cyb561
0	227	Sp9
0	238	Pknox2
0	195	Atf5
0	150	Ppat
0	246	Arhgef6
0	225	Prr24
0	536	Slc6a1
0	252	Rora
0	360	Gpcpd1
0	389	Gpr158
0	377	Cadps
0	286	Lrrtm3
0	176	Rnf38
0	169	Rgmb
0	270	Afap1
0	37	Rnf207
0	252	Pigu
0	328	Ttbk2
0	192	Srgap1
0	89	Atg9b
0	66	Zc3h12c
0	334	6030419C18Rik
0	206	Cntn5
0	163	Mycn
0	243	Tmem25
0	25	Cenpp
0	334	Fgf9
0	421	Ptprm
0	240	Pld5
0	399	Ogfrl1
0	309	Hrh3
0	379	Arx
0	224	Klf12
0	330	Hapln1
0	200	Sp4
0	585	Gad1
0	322	Osbpl8
0	428	Dnajc6
0	68	Trpc7
0	261	Nacad
0	25	Lgr5
0	64	Sun2
0	185	Slc35e3
0	456	Gde1
0	208	Grip2
0	25	Epb4.1l5
0	388	Mctp1
0	381	6430548M08Rik
0	240	Rbms1
0	378	Frmpd4
0	273	Lmo2
0	181	Irs1
0	183	Klhdc8b
0	499	Gad2
0	234	Lgi2
0	434	Plcxd2
0	199	Tmsb15b2
0	386	Nrsn1
0	605	Dner
0	375	Garnl3
0	392	Nmnat2
0	320	A830018L16Rik
0	223	Prps2
0	192	Chml
0	47	Cks1b
0	255	Trim66
0	390	Tmem65
0	259	Tmem151b
0	303	Lrp12
0	322	Grsf1
0	264	Prkaa2
0	313	Slc39a6
0	479	Gabrb2
0	547	Tspan7
0	310	Lrrtm2
0	429	Gabra1
0	191	Prune
0	228	Rnf152
0	259	Adra1a
0	333	Zmat4
0	382	Mapk8
0	282	Sgk1
0	344	Slc30a4
0	311	Dock3
0	297	Grik1
0	250	Gpr12
0	446	Spock3
0	95	Mkrn3
0	182	Ndnf
0	348	Ssbp2
0	217	Pogk
0	463	Reln
0	474	Spock1
0	339	Ptprt
0	25	Ntn1
0	51	Vcan
0	25	Slc5a7
0	260	Npy
0	271	Emb
0	320	Resp18
0	152	Crhbp
0	209	Stard5
0	25	Cort
0	140	Zfp954
0	140	Hist1h2ap_loc1
0	25	Unc13c
0	118	Slc5a5
0	462	Lrpap1
0	294	Sst
0	167	Rbp4
0	247	Lypd6
0	357	Rab3b
0	258	Tsix
0	118	Dnajc28
0	591	Zwint
0	266	Fuom
0	214	Cryl1
0	246	Kcnmb2
0	199	Oprk1
0	318	Ankrd34b
0	486	Stmn3
0	54	Nek7
0	525	Ndufa4
0	214	Stac2
0	258	Cacna2d2
0	235	Ifit2
0	338	Kcnc2
0	84	Klhdc9
0	25	Tac1
0	154	Stk32a
0	140	Relt
0	31	Gm4980
0	39	I830012O16Rik
0	241	Mkx
0	342	Nxph1
0	378	A030009H04Rik
0	340	Nap1l2
0	355	Cdh13
0	285	Nppc
0	326	AI413582
0	351	Olfm3
0	133	Rxfp3
0	231	Trpc6
0	381	Elfn1
0	150	LOC100861615
0	185	Lhx6
0	361	Kctd8
0	299	Lypd6b
0	125	AW551984
0	137	Sla
0	52	Sox6
0	143	Mrap2
0	306	Timm8a1
0	158	Pvalb
0	205	Snora30
0	186	Tuba8
0	280	Gadd45g
0	61	Inadl_loc1
0	142	Wnt7a
0	272	B230216G23Rik
0	277	Cpne5
0	25	Rarres1
0	250	Cntnap3
0	294	Tmem91
0	29	Crabp1
0	43	Neb
0	115	Zfp442
0	263	Htr2c
0	238	Ppil1
0	157	Tamm41
0	160	Slc7a3
0	251	Ap1s2
0	350	Pnck
0	416	Hmgn2
0	301	Serpini1
0	374	Dusp26
0	362	Gm14436
0	182	Rps4y2
0	423	Selm
0	163	Gtpbp8
0	209	1110038B12Rik
0	238	G0s2
0	220	Akr1e1
0	380	Sumo1
0	200	Rwdd3
0	287	Smim18
0	481	Rpl7
0	418	Bex4
0	419	Bnip3
0	446	Gm14305
0	272	Pcbd1
0	702	OTTMUSG00000016609_loc4
0	322	Glrx
0	256	Pafah1b3
0	514	Synpr
0	210	Lnx1
0	261	Qpct
0	739	OTTMUSG00000016609_loc3
0	434	Dynlrb1
0	342	Zcchc12
0	504	Ndufv3
0	264	Ccdc28a
0	124	Cdk5rap1
0	208	Ggact
0	622	Gstm5
0	301	Acadm
0	466	Fxyd6
0	384	Prmt2
0	186	Prpf38a
0	346	Commd6
0	256	Hnmt
0	364	2900011O08Rik
0	412	Snx6
0	278	Psmd10
0	171	Tmem41a
0	487	Gm15421
0	285	Mospd1
0	553	Ndufa5
0	465	Cox7b
0	419	Zfp931
0	392	Rnasek
0	312	Cacybp
0	539	Uqcrh
0	430	Hcfc1r1
0	132	Tmsb15l
0	278	1110032A03Rik
0	282	Sms
0	387	Ndufb10
0	476	Araf
0	731	Eif4a2
0	442	Ndufa8
0	481	Atp5j2
0	300	Tango2
0	327	1700037H04Rik
0	440	Ndufab1
0	490	Ldhb
0	537	Atp5f1
0	507	Ndufa13
0	431	Uqcrc2
0	381	Ndufv2
0	538	Hprt
0	618	Atp5j
0	329	Ddt
0	444	Fkbp3
0	497	Ndufa11
0	473	Ndufa6
0	432	Atp6v1f
0	485	Ndufb9
0	25	Pml
0	291	Smim4
0	446	Gm5643_loc2
0	554	Ngfrap1
0	383	Wbp5
0	508	Nop10
0	455	Akr1a1
0	629	Mdh1
0	439	Vdac3
0	205	Mxra7
0	341	Tspan6
0	356	BC002163_loc2
0	354	Otub1
0	446	Sod1
0	315	Hars
0	419	BC002163_loc1
0	478	Psmb5
0	401	Ndufb5
0	518	Hspe1
0	577	Gpx4
0	694	Cox4i1
0	371	Sncg
0	241	Pagr1a
0	411	Npm1
0	412	Ndufb6
0	530	Myl12b
0	427	Idh3b
0	491	Hint1
0	468	Gpi1
0	479	Atp6v1e1
0	440	Cct8
0	416	Uchl1
0	233	Mtfr1l
0	261	Pts
0	424	Sucla2
0	389	Tmx2
0	490	Fabp3
0	472	Atp5h
0	316	Rnd2
0	265	Gm14326
0	426	Pdhb
0	365	Ppa1
0	562	Gm5506_loc1
0	542	Gabarapl2
0	505	Atp5g3
0	584	Acot7
0	430	Pdha1
0	407	Got1
0	514	Tuba1b
0	519	Slc25a4
0	193	2700097O09Rik
0	176	Haus8
0	235	Pkib
0	218	S100a10
0	469	Chchd2
0	328	Asns
0	375	Idh3a
0	572	Atp5b
0	502	Prdx2
0	284	Nudt19
0	542	Ckb
0	539	Morf4l2
0	488	Tubb2a
0	371	Pja1
0	607	Tuba1a
0	356	Stmn2
0	276	5330434G04Rik
0	279	Vipas39
0	485	Ndfip1
0	417	Snap47
0	441	Ran
0	328	Ndufs3
0	383	Chga
0	406	Atp6v1c1
0	608	Atp6ap2
0	490	Skp1a
0	438	Tubb3
0	284	Gpr123
0	485	Ppp2r1a
0	241	Snhg5
0	336	Tmem35
0	285	Taf9b
0	149	Nck1
0	334	C1galt1c1
0	354	Usp29
0	60	Epb4.1l4a
0	382	Gprasp2
0	263	Strip2
0	151	Rwdd2b
0	398	Pfkm
0	231	Cyb561d2
0	129	Pcdhb3
0	397	Necap1
0	456	Vstm2a
0	181	Gltpd1
0	421	Ccnh
0	608	Clu
0	512	Cst3
0	227	Rabepk
0	166	Sln
0	254	Col25a1
0	296	Gm13629
0	534	Ubb
0	403	Copg1
0	360	Dynlt3
0	226	Cgref1
0	449	Mdh2
0	313	Slc25a11
0	244	Gm6710_loc1
0	410	Atp6v1h
0	493	Ndufa12
0	161	Pacrg
0	390	Pgk1
0	338	Usp14
0	375	Oxr1
0	321	Ascc1
0	208	Ankrd29
0	193	1110008J03Rik
0	296	Ube2v2
0	496	Atp5a1
0	255	Tpgs2
0	351	Emc4
0	273	1500009L16Rik
0	383	Plekhb2
0	372	Acot13
0	461	Atp5o
0	403	Cox5b
0	445	Dctn3
0	264	Dnajb4
0	457	Ghitm
0	482	Uqcrq
0	351	Cygb
0	155	Nit2
0	440	Atp5g1
0	357	Uqcrfs1
0	405	Uqcrc1
0	355	Romo1
0	255	Clmp
0	403	Atp5d
0	360	Nars
0	365	Ndufa10
0	192	Itgb3bp
0	429	Ndufb8
0	308	Slc25a12
0	260	A530058N18Rik
0	308	Hbegf
0	156	Nudcd1
0	344	Fstl5
0	241	Slbp
0	382	Elmo1
0	246	Moap1
0	208	Smyd3
0	282	A330076H08Rik
0	425	Cox6a1
0	410	Ndufb2
0	441	Cox5a
0	445	Glo1
0	175	Ass1
0	310	Mpi
0	200	Tmtc2
0	441	Fdps
0	307	Slc35g2
0	218	Mcu
0	163	Psmc3ip
0	348	Syt6
0	124	Optn
0	513	Trp53i11
0	394	Col19a1
0	332	Cntnap4
0	290	Dlx5
0	362	Lrrtm4
0	350	Necab2
0	247	Wif1
0	46	Rrp8
0	207	Syndig1l
0	359	Stk32c
0	366	Eps8
0	347	Pde5a
0	318	Cd24a
0	76	Slc17a8
0	261	Frem1
0	183	Krt73
0	134	Gldn
0	153	Crh
0	254	Vip
0	296	Pthlh
0	298	Cplx3
0	130	Cox6a2
0	153	Atad2
0	174	Tmem44
0	168	Hkdc1
0	133	Boc
0	216	Tnnc1
0	178	C030013G03Rik
0	364	Krt12
0	226	Nr1d1
0	310	Plxnd1
0	211	Susd5
0	36	A430035B10Rik
0	261	Pou3f2
0	143	Cdh6
0	288	Kcnh5
0	219	Barx2
0	95	Ovol2
0	248	Gpr88
0	297	Rassf3
0	339	Ccl27a_loc2
0	141	Tmem132d
0	308	Cpne9
0	229	Exph5
0	131	Ccdc157
0	331	Cux1
0	207	Medag
0	214	D1Ertd622e
0	286	Tmem107
0	351	Gtdc1
0	386	Kcnj9
0	303	Pik3r1
0	370	Ccl19_loc2
0	338	Ccl19_loc1
0	313	Hecw2
0	142	Acot10
0	241	Nasp
0	315	Fhod3
0	189	Sac3d1
0	500	Coch
0	455	Negr1
0	310	Slit2
0	374	Gm3893
0	329	Hecw1
0	515	Atp2b2
0	550	Arpp19
0	673	Mef2c
0	420	Golga7b
0	427	Gabrd
0	305	Efna5
0	495	Osbpl1a
0	523	Atp1a1
0	364	Nrep
0	365	Kcnh1
0	364	Pmepa1
0	181	Kcnj11
0	392	Pak7
0	384	Zdhhc8
0	384	Kcnb1
0	227	Pla2g4e
0	354	Tshz3
0	354	Asap1
0	321	Ccdc3
0	471	Klf6
0	217	Numb
0	499	Camk4
0	312	Chchd6
0	341	Grm2
0	158	Adcyap1
0	180	Zbtb34
0	571	Ttyh1
0	360	Rap1gap2
0	460	Stx1a
0	320	Fxyd7
0	424	Gp1bb
0	157	Ehbp1l1
0	322	Actr1b
0	377	Adap1
0	447	Strbp
0	409	Camk2g
0	339	Dusp3
0	239	Scube1
0	196	Coro2a
0	372	Nlk
0	260	Ptgfrn
0	464	Prkacb
0	514	Satb1
0	539	Dclk1
0	332	Tiam2
0	391	Vsnl1
0	281	Fam131b
0	174	Fgf14
0	504	Car10
0	491	1110008P14Rik
0	150	Sowahb
0	264	Mark1
0	276	Rnf144a
0	370	Hlf
0	214	Mapk6
0	410	Dpp10
0	231	Cpped1
0	185	Slc25a37
0	246	Rasgef1c
0	267	Soga2
0	289	E130012A19Rik
0	320	Cabp1
0	476	Ngef
0	293	Lsm11
0	429	Pcdh7
0	257	Ptchd1
0	25	Mansc1
0	242	Mapk11
0	41	Lmcd1
0	347	Sox4
0	271	BC048546
0	219	Map3k10
0	264	Cobl
0	242	Net1
0	110	Arhgap10
0	144	Car15
0	29	Fst
0	349	Dusp14
0	252	Lingo2
0	226	Cbln4
0	270	Sestd1
0	324	Fjx1
0	60	Qrfpr
0	255	Cdk2ap1
0	281	Marc2
0	206	Cul9
0	328	Tmem108
0	201	Man1c1
0	337	Kcnf1
0	306	3110047P20Rik
0	371	Pdzrn3
0	159	Npnt
0	314	Dclk3
0	210	Cdc42ep3
0	133	Otof
0	411	Pvrl3
0	280	Hpcal1
0	206	Sema3a
0	189	Prkg2
0	324	Pdp1
0	75	Tcf19
0	211	Rnd1
0	309	Stard8
0	319	Vopp1
0	217	Abi3bp
0	175	Abcb9
0	318	Dact2
0	235	Robo3
0	197	Frzb
0	350	Cux2
0	700	Camk2n1
0	305	Gsg1l
0	197	Tmem215
0	232	Igfn1
0	251	Sstr1
0	197	Mapk12
0	302	Slc17a6
0	31	Cartpt
0	366	Brinp3
0	277	Trhde
0	191	Hspb3
0	226	C730002L08Rik
0	278	Gm20063
0	387	Gucy1a3
0	238	A830009L08Rik
0	238	B230216N24Rik
0	471	Lamp5
0	445	Plk5
0	247	Atp6ap1l
0	206	Il1rapl1
0	273	Klhl1
0	150	Cbln1
0	158	Vwc2l
0	250	Sema5b
0	263	Ly6g6e
0	374	Arhgap44
0	340	Prss12
0	308	Drd1a
0	34	Susd2
0	208	Tshz2
0	257	Tox
0	301	Grm8
0	41	Kremen1
0	343	Grik3
0	329	Pcsk5
0	642	Slc1a2
0	491	Ncald
0	359	Tle4
0	400	Pamr1
0	292	Tmem40
0	370	Nxph3
0	383	Kcnmb4
0	186	Col5a1
0	240	Tpbg
0	48	Blnk
0	317	Gm13305_loc1
0	361	Hs3st2
0	229	Htr1f
0	391	Grm3
0	221	Myl4
0	118	Plxdc1
0	252	Pcdh11x
0	311	B3galt2
0	166	Gm13308_loc4
0	188	Epb4.1
0	486	Kcna1
0	390	Rprm
0	384	Gm11549
0	364	Map3k5
0	357	Kcnip3
0	171	Lsp1
0	203	Sulf1
0	126	Arhgap25
0	345	Ramp3
0	160	Gm13298_loc1
0	329	LOC100861978_loc4
0	295	Sox5
0	394	Ttc9b
0	383	Chgb
0	552	Pcp4
0	307	Necab3
0	55	Trabd2b
0	299	Ipcef1
0	547	Adcy1
0	409	Fut9
0	559	Tbr1
0	396	Foxp2
0	303	Pcdh10
0	377	Ppp1r1b
0	365	Slc4a10
0	417	Atp2b4
0	90	Opn3
0	301	Cckbr
0	164	Col6a1
0	195	Lrrc55
0	379	Mt3
0	124	Ankrd42
0	265	Doc2a
0	98	Chrm2
0	25	Plp2
0	313	Gfra2
0	279	Gabra3
0	287	Dtl
0	325	Plcxd3
0	574	Pcsk2
0	381	H2afz
0	542	Ubl5
0	436	Timm8b
0	289	Dkkl1
0	488	Kifap3
0	438	Vps29
0	205	Cd302
0	615	Snap25
0	673	Calm1
0	435	4933409K07Rik_loc3
0	378	Deb1
0	421	Nkiras1
0	755	Ppia
0	256	Thrsp
0	480	Txn1
0	547	Ly6e
0	449	Nap1l1
0	410	Rab33a
0	369	Egfl7
0	477	Grcc10
0	239	Avpi1
0	389	Mien1
0	444	Tubb5
0	541	Rps28
0	626	Rps24
0	214	Cenpw
0	631	Rps15a-ps4
0	345	Evi5
0	270	Ccs
0	533	Rpl32
0	545	Rps20
0	694	Rplp1
0	580	Sumo2
0	539	Rpl39
0	437	Polr2l
0	672	Rps29
0	181	Uxt
0	552	Tagln3
0	604	Cox8a
0	439	Mgst3
0	477	Vmp1
0	400	Pfkp
0	228	Tma16
0	198	Gm7977
0	527	Tomm7
0	269	Dok5
0	572	Tpi1
0	516	Atp5l
0	505	Atp5e
0	606	Mif
0	413	Pld3
0	505	Atp5k
0	543	Cox7c
0	500	Cox6b1
0	524	Cox7a2
0	515	Usmg5
0	577	Cox6c
0	478	Atp6v1d
0	474	Nedd8
0	571	Atpif1
0	543	Atp5c1
0	483	Scg5
0	421	Ndufb4
0	367	Ube2w
0	354	Hn1
0	344	Dnajc15
