TF	target	importance
Cers2	Degs1	45.25520447986424
Celf6	Gng2	45.24230101772138
Cycs	Vps29	45.17530074496674
Tsc22d4	Sirt2	45.166671619184044
Id4	Pla2g7	45.125073774900514
Mef2c	Kcnb1	45.09927227053439
Mef2c	Cacng3	45.063108292346406
Cers2	Elovl7	45.034473426339225
Cycs	Higd1a	44.98967445833768
Gm14305	Zfp931	44.98599194020966
Cycs	Ndufa1	44.97249973862206
Rpl35	Rpl14	44.968493873591314
Ascc1	Rsph1	44.966209958308646
Olig1	Slc44a1	44.90906627661291
Ascc1	1110017D15Rik	44.90054789602309
Rpl35	Rps21	44.86838943424995
Tsc22d4	Plat	44.85937171663665
Dab2	Ccl7	44.73658965056266
Ascc1	Rarres2	44.681836353235425
Mef2c	Fhod3	44.66175998520003
Tcf7l2	Marcks	44.6532831949172
Celf6	Nrxn3	44.62718022333638
Rpl35	Myl12a	44.61110004398885
Nmral1	Evi2a-evi2b	44.57985660434075
Mef2c	Dpp10	44.55312482006858
Dab2	Fcgr1	44.55068603191785
Id4	Gja1	44.54404493024354
Ascc1	Cnn3	44.52851578300139
Hey2	Prelp	44.36804335665559
Kdm5d	Eif2s3y	44.34484353716169
Cers2	Cryab	44.32732010774328
Cycs	Ndufb10	44.30805122118611
Nr4a1	Egr1	44.29141268947605
Ascc1	Tmem212	44.27741780557774
Prnp	Cpne6	44.10803417843591
Ascc1	Lrrc23	44.05889830489587
Hmgb1	Rpl35	44.04472912180295
Olig1	Fam214a	44.0336868769007
Srrm3	Srrm2	43.99842115164683
Prnp	Grm5	43.97441010488861
Id2	Prdx6	43.949738109543006
Celf6	Npas1	43.90857171351904
Zbtb18	Wfs1	43.89417882712654
Olig1	Opalin	43.84481477514269
Gm14305	Eif4a2	43.77760212041486
Hmgb1	Btf3	43.71649194208359
Etv1	Grp	43.61739602412733
Cycs	Cox7b	43.502458267105844
Cers2	Pcdh9	43.49892259870036
Dlx5	Dlx1os	43.47863817391456
Celf6	Cadps2	43.430994331258816
Rpl35	Atp5e	43.425264696832066
Tcf4	B3gat1	43.41552512332314
Rorb	Coch	43.3812719246779
Nfib	Sema5a	43.30961588842463
Dab2	Serinc3	43.27712026555361
Zbtb18	Ppp3r1	43.275804889424215
Cycs	Ndufa8	43.27096464325213
Id4	Acsl6	43.196964753761016
Prnp	Gria1	43.15965435984264
Tpi1	Atpif1	43.12227278647438
Olig2	Olig1	43.09438371105796
BC005561	Meg3	43.08109792295085
Nr4a2	Col11a1	43.07065141475621
Dab2	Lyz1	43.070018929786855
Cycs	Atp5g3	43.066227727881206
Tcf4	4833424O15Rik	43.06428780291916
Tcf4	Gabbr1	43.02709073049193
Rpl35	Hmgb1	43.022597942037024
Nme1	Cycs	42.970811683316946
Dab2	Cd209g	42.95756987805504
Rpl35	Rpl8	42.896891603734375
Olig1	Gal3st1	42.80410421779435
Olig1	Sirt2	42.77863056128955
Ascc1	Efcab10	42.76083259187974
Tpi1	Cycs	42.73373377747921
Sox9	Sox2	42.6767542463676
Cycs	Nme1	42.62682794828151
Luzp2	Pcdh17	42.59734234733162
Rpl35	Rpl13a	42.59043876690738
Cycs	Ndufb5	42.530464560827
Fos	Dusp1	42.518257967534765
Hmgb1	Sumo2	42.49449331910807
Mef2c	Dclk3	42.489481876371116
Olig1	Adamts4	42.46367361389945
Klf4	Fosb	42.45169903853867
Dab2	Ccl2	42.45092753715532
Hey2	Slc38a11	42.431934178037984
Fosb	Jun	42.41857078069763
Cycs	Ndufb4	42.39828075552775
Celf4	Atp6v1a	42.397694894748355
Cd59a	Trf	42.39155105730381
Mef2c	Brinp3	42.37189909812798
Prnp	Cadm1	42.282942354200735
Prnp	Nsg2	42.21407879426082
Mef2c	D430041D05Rik	42.17692435688209
Cd59a	Klk6	42.16779692487917
Cers2	Ptn	42.15136767838538
Atf3	Zfp36	42.13781399762246
Nmral1	Aspa	42.12110699027691
Nr2f2	Cxcl14	42.09431288702879
Rpl35	Rpl11	42.08593389064561
Cers2	Jam3	42.06483176705792
Cers2	Gpr37	42.046853922094236
Cers2	Lpar1	42.03744763945044
Dab2	Ltc4s	42.00275218446965
Tcf4	Map4	41.98423617599487
Dab2	Hpgds	41.906208217645656
Tbr1	Foxp2	41.88449040034637
Kdm5d	Xist	41.86677081755275
Ascc1	Ppp1r36	41.83954502033074
Foxn3	Metrn	41.81187222365755
Mef2c	Ptprk	41.781435276573866
Foxp2	Ppp1r1b	41.76101934940314
Zmat4	Gabrb2	41.75274630743748
Nxph3	Pcp4	41.72296815028733
Ywhae	Cmip	41.65681566405161
Foxp2	Rprm	41.582494395102394
Mef2c	Plk5	41.52353812748401
Olig1	Smad7	41.51875684260828
Cd59a	Hapln2	41.47294379798901
Cers2	Grb14	41.46743865046057
Cycs	Ndufb11	41.462026478679284
Tbr1	Gm11549	41.44851791343142
Ezr	Fam107a	41.4217773386965
Edn1	Ly6c1	41.40851505861069
Id4	Cpe	41.32906395621197
Rorb	Brinp3	41.29641196896364
Cers2	Pllp	41.29090602305872
Mef2c	Npcd	41.28439038742063
Cers2	Apod	41.27906460811505
Cers2	Epb4.1l3	41.269165126147605
Cers2	Hmgcs1	41.26085228985211
Tcf4	Slc24a3	41.26080424174638
Tsc22d4	Csrp1	41.25791051625809
Cd59a	Fth1	41.22059540303027
Cycs	Atp5e	41.2205872709284
Id2	Mgll	41.21331416057257
Ywhae	Olfm1	41.20067522308172
Cycs	Atpif1	41.19142124301565
Rpl35	Uqcrh	41.1429831618624
Pkm	Aldoa	41.08161816628893
Cers2	Eml1	41.058765403463156
Mef2c	1110008P14Rik	41.04170895256003
Tcf4	Cadm2	40.993329877599386
Olig1	Ptprd	40.98649210783129
Cycs	Ndufv2	40.80085585890879
Mef2c	Pak7	40.79237408984204
Celf6	Gng4	40.78294212823912
Rpl35	Rps12	40.77329797602702
Prnp	Wasf1	40.742001669257924
Tcf7l2	Nfasc	40.7232064761223
Prnp	Icam5	40.70010430032622
Prnp	Tspan13	40.69961731773406
Cycs	Ppia	40.62075517114826
Zbtb18	Wasf1	40.561842213657464
Dab2	Ccr1	40.52576001690719
Dab2	C3ar1	40.52431684566418
Msx1	Igfbp2	40.50141735002222
Maf	C1qb	40.49250179797821
Ywhae	Ubqln2	40.4897829218334
Cers2	Gamt	40.47319432117162
Rpl35	Serf2	40.45991385126016
Ywhae	Serbp1	40.42593569491031
Nfib	Nfia	40.42259097319864
Ywhae	A730098P11Rik	40.41966858176646
Epas1	Ptprb	40.41959453614272
Tcf7l2	Tns3	40.4182872206996
Ascc1	Lrrc48	40.413543284263476
Cers2	Pcbp4	40.3968604350157
Tcf4	Fndc5	40.37707077326078
Mef2c	Nlk	40.32771730096135
Tpi1	Mdh1	40.320860302962274
Tpi1	Gpi1	40.30393536395736
Fos	Ptma	40.25972237468436
Dab2	Cp	40.257471483281414
Mef2c	Vopp1	40.25177680210004
Prnp	Lrrn2	40.25145430737619
Prnp	Mmd	40.18943961905736
Olig1	Sema6a	40.17900944093656
Tcf7l2	Plxnb3	40.168364598272824
Olig1	Marcksl1	40.14533111183707
Olig1	Scd2	40.135417138009
Tcf4	Ubqln2	40.1333746115015
Nxph3	Clic5	40.12772750453163
Nxph3	Pamr1	39.992965513785784
Epas1	Ifitm3	39.969258505369446
Egr2	Fos	39.965960025255455
Ywhae	Prkce	39.91578755339718
Dab2	Tgfbr2	39.8819031863638
Cers2	Pla2g16	39.87943898689849
Pkm	Atp6v1b2	39.875255861063906
Cycs	Atp5h	39.862663593374094
Maf	Fcer1g	39.85469545986613
Hmgb1	Srp14	39.844215586994466
Tcf7l2	Idh1	39.82236667553214
Celf6	Necab1	39.77898596649505
Mef2c	Plxnd1	39.724083620821304
Heyl	Myl9	39.71548948488612
Celf5	Gria2	39.709219682876196
Id4	Ptprz1	39.70338871201305
Tpi1	Atp6v1d	39.68905410202047
Jun	Ubc	39.68627868612338
Tpi1	Nme1	39.68451556373364
Rpl35	Rplp0	39.68065464198367
Ascc1	Sntn	39.672800555552776
Atf3	Btg2	39.66450449821196
Ascc1	Capsl	39.65456774911432
Cers2	Ptma	39.58713902297919
Ywhae	Mlf2	39.546542603735986
Fos	Btg2	39.49333445841225
Cycs	Coa3	39.47238740712164
Foxj1	Rsph1	39.466173169270405
Tsc22d4	Rims2	39.46519749068728
Ywhae	Dnm1	39.46468200362526
Cycs	Ndufb6	39.463347698684544
Rpl35	Myl12b	39.40914074746553
Hmgb1	Rps3a1	39.39673414843064
Tpi1	Atp5f1	39.38769554420231
Maf	Mrc1	39.38739378522727
Ascc1	6820408C15Rik	39.35645377767544
Ascc1	Mia	39.34340750503893
Olig1	Desi1	39.33234253425528
Rpl35	Rps7	39.26807885965438
Kcnip1	Htr3a	39.266700016680524
Mef2c	Itgav	39.238550689983356
Rorb	Grm2	39.184645908784006
Ets1	Col4a1	39.180519144388946
Rpl35	Rps27a	39.16054722464512
Mef2c	Kcnj4	39.141424738657605
Ywhaz	Actg1	39.11423774770468
Hmgb1	Spcs1	39.11267416819405
Mef2c	Golga7b	39.08804021022359
Mynn	Dnah7a	39.055354852570765
Hspa5	Pdia3	39.0534439584443
Cers2	Slc12a2	39.0465798606013
Rpl35	Gm15772	39.039498926519165
Zbtb18	Gabrb3	39.033016614006776
Mef2c	Rasgef1c	39.007834497774084
Ascc1	Tctex1d4	38.998290680507964
Mef2c	Lrrtm4	38.98195957863685
Cers2	Wscd1	38.97782351849771
Olig1	Ccp110	38.97104200206492
Zbtb18	Fam19a1	38.95293295527681
Mylk	Gja4	38.90891099822056
Tcf7l2	Atp6v0a2	38.88069577958339
Id2	Aqp4	38.83876840663292
Kcnip1	Cnr1	38.83313787081666
Tcf4	Zeb2	38.82489384909479
Id4	Fbxo2	38.7831647203024
Klf4	Klf2	38.7495012815286
Mef2c	Unc5d	38.74370280886742
Epas1	Utrn	38.74208784442614
Tpi1	Mif	38.736150479150005
Cycs	Suclg1	38.72775694134304
Tcf7l2	Fyn	38.719927021771525
Tpi1	Akr1a1	38.719336070977306
Ywhae	Basp1	38.69469162886092
Cycs	Ndufv3	38.69419874368837
Cycs	Ndufb8	38.6815166482256
Foxj1	Mia	38.625077614015595
Dab2	Tslp	38.622931565305144
Zbtb18	Enc1	38.61422705060788
Mef2c	Extl3	38.59014483888339
Mylk	Zfhx3	38.58429834115488
Hmgb1	Rps6	38.5783239415187
Nxph3	Hs3st4	38.571774643888745
Zic1	Vtn	38.564840565095146
Tbr1	Arpp19	38.54177401463584
Ywhae	Nucks1	38.50883989806983
Tpi1	Atp5j2	38.494083655130275
Mef2c	Stxbp1	38.49121122758125
Olig1	Mal	38.48651494330327
Nfib	Slc6a1	38.46606721298446
Ywhae	Nrgn	38.428325379912785
Mef2c	Tshz3	38.41321852253138
Olig1	Sept4	38.41041975039581
Mef2c	Lmtk2	38.40821430586951
Rpl35	Rpl36	38.400564100329994
Id4	Slc1a3	38.37493959640236
Dab2	Il10rb	38.31866989907371
Celf4	Ywhag	38.31700684342308
Cers2	Cdc42ep1	38.295417879372025
Mef2c	Gucy1a3	38.2565911081129
Fos	Dnajb1	38.255055952645044
Olig1	Abhd17b	38.24901933961196
Mef2c	Krt12	38.24129318346494
Celf4	Klc1	38.231800246538114
Foxj1	Rarres2	38.183265026702806
Tsc22d4	Ninj1	38.16900384446722
Runx1	Cybb	38.16701643527483
Cers2	Serinc5	38.159895880142436
Celf6	Fxyd6	38.15026646240017
Nmral1	Omg	38.11787062135496
Cycs	Scg5	38.110357394719784
Ywhae	Pcbp2	38.09998799647267
Dab2	Folr2	38.09847230072896
Ywhae	Rpl6	38.0923581349546
Myrf	Abca2	38.08957470332598
Cycs	Gm15421	38.079264060875396
Cycs	Dnajc15	38.07370332287887
Epas1	Gpr116	38.04736322421711
Prnp	Chl1	38.00486295370519
Cers2	Josd2	37.99829564326282
Mef2c	Nrep	37.985549680675604
Ywhae	Eef1a2	37.953324453335355
Fos	Egr2	37.947569739743685
Olig1	Micall1	37.935417794506755
Dab2	Clec4a2	37.92439465024754
Ascc1	Plac9a_loc3	37.9170509175722
Nme1	Fkbp3	37.89689321566237
Maf	Stab1	37.891449760568
Cers2	Clic4	37.89082985719135
Cers2	Tmem88b	37.85482530188235
Zbtb18	Lmo7	37.84860115254719
Maf	Ctsb	37.84822349262574
Cers2	Arpc1b	37.82121462102724
Id2	Sparcl1	37.79186989297727
Cycs	Ndufs6	37.788222093358236
Foxj1	Dynlrb2	37.764326743039405
Tsc22d4	Olig1	37.74344090324058
Celf4	Napb	37.73379865997118
Cers2	Ddr1	37.69026966382245
Tpi1	Ppia	37.680715340836336
Dab2	Vamp8	37.62712191053259
Foxn3	Ermn	37.56133897589447
Mylk	Pln	37.54903145245757
Maf	Fcgr3	37.48423630706203
Nme1	Tpi1	37.476080416322596
Zbtb18	Kcnd2	37.47035080159444
Ywhae	Pgp	37.40634955371828
Hadhb	Fabp7	37.404277559136126
Tsc22d4	Mmd2	37.39589736504129
Mef2c	Dlg1	37.385944960029946
Nr4a2	Sstr2	37.3817145685273
Neurod2	Ptk2b	37.36899655614991
Nme1	Ppia	37.36019121948853
Olig1	2810468N07Rik	37.35061703259954
Dab2	Abca9	37.348424618300015
Rpl35	Rpl9	37.31606641974145
Id2	Fbxo2	37.28958963274288
Prnp	Mal2	37.27927254567704
Pkm	Rab3a	37.26983197832189
Mef2c	Kcnj9	37.2305298093239
Mef2c	Rap1gap2	37.22505742183068
Cycs	Uqcrb	37.20598584508413
Msx1	Lbp	37.1969917398699
Ascc1	Tmem107	37.187598849087365
Mef2c	Satb2	37.15489834897886
Ywhae	Phyhip	37.15005212856576
Satb1	Trhde	37.13502899689522
Olig1	Otud7b	37.13038375200583
Ezr	Clu	37.11995691528081
Celf4	Nsf	37.08318278662138
Foxq1	Abcb1a	37.06911721222043
Ascc1	Spa17	37.06630440848149
Tsc22d4	Ctsl	37.05607991980981
Ascc1	Gm11992	37.0380911562397
Id4	Fabp7	37.032621413560676
H2afz	Ppia	37.03008322858145
Sox9	Id4	37.01019024752727
Dab2	Gbp7	37.00668591266693
Tpi1	Prdx2	37.00517460863877
Rorb	Fam19a2	36.993218504887466
Id4	Sdc4	36.968020629683636
Etv1	Ndrg1	36.960344725063656
Tpi1	Atp5h	36.959958271573456
Cers2	1500004A13Rik	36.951533712775294
Olig1	Rap1a	36.92859777631716
Nmral1	Cmtm5	36.91866326899701
Tsc22d4	Scrg1	36.91835258940887
Cers2	Vmp1	36.91196987596222
Runx1	AI607873	36.87235504550667
Olig1	Zdhhc9	36.868006109391494
Cycs	Mrps14	36.858397182462355
Mef2c	AI593442	36.84411334107774
Tpi1	Tubb2a	36.83697729521408
Cers2	Prdx1	36.79274570946077
Id4	Slc7a2	36.776663512412796
Cers2	Cdc42ep2	36.77123033815364
Zbtb18	Sowaha	36.75427906353475
Zbtb18	Chn1	36.7187721910158
Akr1a1	Tpi1	36.71843628010574
Fezf2	Ldb2	36.69581877194426
Kcnip1	Sema3c	36.68364652107481
Cycs	Park7	36.66673414899441
