	target	non_zero
453	Anks1b	2359
454	Brd9	2359
455	Nrxn1	2358
456	Bcap31	2357
457	Snurf	2356
458	U2surp	2356
459	Rpl37	2355
460	Ost4	2354
461	Omg	2352
462	Txn1	2351
463	Atp5d	2351
464	Ddx3x	2350
465	D4Wsu53e	2350
466	Snap25	2350
467	Itm2c	2349
468	Psmd1	2348
469	Wbp5	2347
470	Hnrnpl	2346
471	Zfr	2346
472	Gdi2	2345
473	Ank2	2345
474	Klf9	2345
475	Syt1	2343
476	Kif5b	2342
477	Atp5g1	2342
478	Srsf11	2341
479	Rps8	2340
480	Qk	2339
481	Dst	2337
482	Taok1	2336
483	Rpl11	2334
484	Rpl14	2334
485	Cmip	2333
486	Psma6	2331
487	Ncl	2329
488	Abi2	2328
489	Pdhb	2328
490	Cyb5	2328
491	Cadm2	2327
492	Chmp2a	2327
493	Rpl36a	2323
494	Eif1b	2323
495	Ncor1	2323
496	Ppp2r2c	2323
497	Timm13	2322
498	Mtch2	2321
499	Sc4mol	2321
500	Zfp706	2320
501	Tmed10	2320
502	Dnajc8	2320
503	Slc38a2	2317
504	Eif5b	2317
505	Ldha	2317
506	Ndufs4	2316
507	Mrfap1	2316
508	Zmat2	2315
509	Atp6v1c1	2315
510	Cd47	2315
511	Vimp	2315
512	Pmm1	2314
513	Snrnp27	2313
514	Kif3a	2313
515	Tubb2a	2313
516	Pabpn1	2312
517	Apbb1	2312
518	Eps15	2311
519	Tm9sf3	2311
520	Psmb3	2311
521	Ywhag	2310
522	Ndufs8	2310
523	Chmp5	2310
524	Cct6a	2309
525	Psmb5	2309
526	Cox5a	2309
527	Macf1	2307
528	Ntrk2	2306
529	Atp6v1h	2306
530	Tmx2	2304
531	Pgrmc1	2303
532	Nhp2l1	2302
533	Scoc	2302
534	Nrxn2	2300
535	Ctnnb1	2300
536	Vbp1	2299
537	Spop	2298
538	Mycbp2	2298
539	Tsc22d1	2298
540	Araf	2297
541	Idh3b	2296
542	Rac1	2295
543	Krtcap2	2295
544	Abcf1	2295
545	Psmd4	2295
546	Maged1	2294
547	Dnajb6	2293
548	Ddx24	2293
549	Stmn1	2292
550	Tsn	2291
551	Snx3	2289
552	Calr	2289
553	Dbi	2288
554	Dnajc7	2287
555	Pdia3	2287
556	Gde1	2286
557	Huwe1	2283
558	Luc7l2	2281
559	Rpl12	2280
560	Kif21a	2280
561	Olfm1	2279
562	Sqstm1	2279
563	2410015M20Rik	2278
564	Epn2	2278
565	Cope	2277
566	BC002163_loc2	2276
567	Cct2	2275
568	Celf2	2275
569	Ppt1	2273
570	Rab18	2273
571	Clasp2	2271
572	Add1	2271
573	Pcmtd1	2271
574	Tubb4b	2269
575	Hnrnpdl	2268
576	Nisch	2267
577	Herc1	2267
578	Pdcd10	2266
579	Dctn2	2265
580	Rtn1	2265
581	Ddx17	2263
582	Emc7	2263
583	Gsk3b	2262
584	Nfasc	2262
585	Eif5	2262
586	Sort1	2262
587	Gabbr1	2260
588	Sptan1	2259
589	Ankrd12	2259
590	Snord104	2257
591	Sar1b	2256
592	Ssr4	2256
593	Ywhah	2255
594	Uqcrb	2255
595	Rpl18	2254
596	Atp6v0e2	2254
597	Atp6v1b2	2251
598	Tmem151a	2251
599	Nars	2247
600	Hcfc1r1	2247
601	Naa15	2246
602	Vps28	2246
603	Emc2	2245
604	Rpl15	2245
605	Psmc6	2244
606	Bbip1	2244
607	Rbm3	2242
608	Lrrc58	2241
609	Gnb1	2241
610	Mapre1	2240
611	Srsf7	2240
612	Slc48a1	2239
613	Commd3	2238
614	Lamtor5	2237
615	Rbm5	2237
616	Tmco1	2237
617	Rufy3	2236
618	Sdhd	2236
619	Zfand5	2236
620	Rhob	2235
621	Ube2b	2234
622	Psmc2	2233
623	Cox14	2232
624	D3Bwg0562e	2231
625	Ddx1	2230
626	Lmbrd1	2228
627	Deb1	2228
628	Sdf4	2228
629	Cfdp1	2225
630	4932438A13Rik	2224
631	Slc24a2	2223
632	Sez6l2	2223
633	Impact	2222
634	Cwc15	2222
635	Slc6a6	2221
636	Rpl10a	2221
637	Fkbp3	2220
638	Map4	2219
639	Snrpd2	2219
640	Ahi1	2219
641	Ogt	2218
642	Srp19	2218
643	Gnaq	2218
644	Dclk1	2218
645	Ndufa10	2217
646	Kifap3	2216
647	Mphosph8	2213
648	Atp8a1	2211
649	Cs	2208
650	Bclaf1	2208
651	Usp34	2204
652	Dnaja2	2204
653	Gnb2	2204
654	Mrpl20	2203
655	Hp1bp3	2203
656	Polr2g	2202
657	Ptprs	2201
658	Idh3a	2201
659	Mrpl33	2200
660	Osbpl1a	2200
661	0610009D07Rik	2200
662	Ttc14	2200
663	Mtch1	2198
664	Pdia6	2198
665	Nudcd3	2197
666	Mtdh	2196
667	Ppp3r1	2194
668	Ppp2ca	2193
669	Rabac1	2193
670	Pebp1	2192
671	Acp1	2192
672	Dnm1l	2189
673	Ngfrap1	2188
674	Ndufb2	2188
675	Atraid	2187
676	Cxx1c	2186
677	Tra2b	2186
678	Pcdhgb4	2185
679	Sel1l	2184
680	Ssu72	2182
681	Hk1	2182
682	Snrpg	2182
683	Pfdn1	2181
684	Pafah1b2	2181
685	Ttll7	2180
686	Ergic3	2179
687	Atf4	2178
688	Psmd2	2177
689	Tm2d2	2176
690	Timm17a	2176
691	Ptpra	2176
692	Arl8b	2175
693	Rpl3	2174
694	Atp9a	2173
695	Snap47	2171
696	Srpk2	2171
697	Chn1	2170
698	Mtpn	2170
699	Ddb1	2169
700	Aatk	2169
701	Tceb1	2169
702	R3hdm1	2167
703	Nrgn	2167
704	Rnf187	2163
705	Ctsa	2163
706	Eif4h	2162
707	Fus	2162
708	Rbm8a	2161
709	Sdf2	2161
710	Sec11c	2160
711	Ncdn	2160
712	Eprs	2160
713	Secisbp2l	2159
714	Hmgn3	2158
715	Stx12	2158
716	Scn2a1	2158
717	Arpp19	2158
718	Mlf2	2158
719	Rock2	2157
720	Hnrnph1	2157
721	Psmc4	2156
722	Ahcyl1	2156
723	Suclg1	2156
724	Wac	2156
725	Nop10	2155
726	Nfe2l1	2154
727	Rpl34-ps1	2154
728	Rpl6	2153
729	Rnf13	2152
730	Slirp	2152
731	Nfib	2152
732	Ankrd11	2151
733	Sfpq	2151
734	Psmb7	2150
735	Reep5	2148
736	Plp1	2147
737	Cox5b	2147
738	Idh3g	2146
739	Srp54c	2146
740	Snhg11	2145
741	Gas5	2144
742	Atxn10	2143
743	Tpm3	2142
744	Pak1	2141
745	Pisd-ps3	2140
746	Celf1	2139
747	Thoc2	2139
748	Timm23	2138
749	Zc3h15	2138
750	Trappc2l	2137
751	Ensa	2137
752	Rpl28	2137
753	Hprt	2137
754	Rhoa	2136
755	St13	2136
756	Ndrg3	2133
757	Ttyh1	2132
758	Safb	2132
759	Arpc2	2132
760	Dctn3	2131
761	Eif3m	2130
762	Psmd14	2129
763	Set	2128
764	Snw1	2127
765	Snrpb2	2127
766	Mapk1	2126
767	March6	2126
768	Mff	2125
769	Chmp3	2124
770	Sf3b2	2124
771	1810022K09Rik	2123
772	Hmgcr	2123
773	Tanc2	2123
774	Sarnp	2121
775	Pja1	2121
776	Lsm7	2120
777	Csnk1a1	2120
778	Tpr	2119
779	Basp1	2119
780	Cct3	2118
781	Immt	2117
782	Tspyl4	2116
783	Napg	2116
784	Eif3i	2116
785	Fbxw7	2115
786	Uba1	2115
787	Zc3h11a	2115
788	Zcchc18	2114
789	Ccdc47	2114
790	Tcea1	2113
791	Cdk11b	2113
792	Mien1	2113
793	Mrpl53	2113
794	Arpc5	2112
795	Clk1	2111
796	Sucla2	2110
797	Sbds	2109
798	Grina	2109
799	Gm10094	2108
800	Dynlt3	2108
801	Gpatch8	2108
802	Cntn1	2108
803	Dctn6	2108
804	Psma1	2107
805	Rpl22l1	2106
806	Picalm	2105
807	Nop56	2104
808	Hmox2	2103
809	Camk2a	2103
810	Cstb	2103
811	Bloc1s1	2103
812	Pcbp1	2103
813	Cacnb4	2103
814	Wnk1	2102
815	Hnrnph2	2101
816	Smim7	2101
817	Eid1	2101
818	Ptplad1	2100
819	Mapk8ip3	2100
820	Rpl9	2100
821	Pclo	2100
822	C1d	2100
823	Sar1a	2100
824	Kcna1	2099
825	Tmem223	2099
826	Epb4.1l3	2099
827	Ppp1r12a	2099
828	Arf4	2099
829	Ube2n	2099
830	Cdc123	2098
831	Arhgef12	2098
832	Vdac1	2097
833	Rab10	2097
834	Pet100	2096
835	Itfg1	2094
836	Eif5a	2094
837	Supt4a	2093
838	Sorl1	2093
839	Cdc42se2	2093
840	Actr2	2092
841	Rab3a	2092
842	Capzb	2092
843	Cadm1	2091
844	Eif3e	2091
845	Selt	2091
846	Atp1a1	2090
847	Cnih1	2089
848	Wbp2	2089
849	Ktn1	2089
850	Jun	2089
851	Clta	2088
852	Erp29	2088
853	Fez1	2088
854	Hspd1	2088
855	Rpl23a	2087
856	Aff4	2087
857	Kidins220	2087
858	Gnai1	2087
859	Ube2l3	2087
860	Lphn1	2087
861	Swi5	2086
862	Rab6b	2085
863	Smarca2	2084
864	Phactr1	2084
865	Cbx5	2084
866	Vamp2	2083
867	Rpl27a	2082
868	Abr	2081
869	Ankrd46	2081
870	Vapa	2081
871	Camk2b	2081
872	Aimp1	2081
873	Taf9	2080
874	Gprasp1	2080
875	Snca	2079
876	Dbndd2	2078
877	Arid4b	2078
878	M6pr	2078
879	Rps10	2076
880	Fam32a	2076
881	Sltm	2076
882	Herc2	2075
883	Arf3	2075
884	Tmem167	2074
885	2610507B11Rik	2074
886	Nceh1	2074
887	Selm	2074
888	Nbea	2073
889	Gnai2	2072
890	Ahsa1	2072
891	Chd8	2071
892	Psmd6	2069
893	Nemf	2068
894	Arhgap32	2066
895	Lamtor2	2066
896	Mgea5	2066
897	Ist1	2065
898	Celf4	2064
899	Gtf2i	2064
900	Ash1l	2063
901	Ndufs1	2063
902	Fxr1	2063
903	Kcnq1ot1	2063
904	Rpl17	2063
905	Ndufab1	2063
906	Atp2c1	2060
907	Vps41	2059
908	Rgs7bp	2059
909	Ndfip1	2058
910	Bnip3	2057
911	Timp2	2057
912	Nsa2	2056
913	Polr2j	2056
914	Zfp365	2055
915	Pcbp2	2052
916	Ociad1	2051
917	Otub1	2051
918	Wdr26	2051
919	Nsf	2051
920	Myo9a	2050
921	Mt1	2050
922	Uqcrfs1	2050
923	Rpl36	2050
924	Ptp4a2	2049
925	Tomm22	2048
926	P4hb	2048
927	Stmn2	2048
928	Slc25a12	2047
929	Kif5c	2047
930	Dlgap1	2046
931	Rab11b	2045
932	Ddost	2044
933	Soga3	2044
934	Eno2	2042
935	Pcnp	2040
936	Etnk1	2040
937	Eif3h	2039
938	Tmeff1	2039
939	Mrps14	2039
940	Dnm1	2039
941	Hagh	2039
942	Rdx	2038
943	Nrxn3	2038
944	Hspa9	2037
945	Phf20	2037
946	Synj1	2037
947	Fdft1	2037
948	Nkiras1	2036
949	Acot13	2036
950	Rbfox3	2035
951	Dpm1	2034
952	Mrpl18	2034
953	Baz1b	2033
954	Ndrg4	2031
955	Pdcd6	2031
956	Nap1l5	2030
957	Jak1	2030
958	Got1	2029
959	Fkbp2	2029
960	Uqcc2	2029
961	Nucks1	2028
962	Hsph1	2028
963	Bin1	2028
964	Myt1l	2028
965	Eef1g	2027
966	Glul	2027
967	Agrn	2027
968	Cfl2	2026
969	Amph	2026
970	Ola1	2025
971	Cyfip2	2025
972	Fam173a	2024
973	Rab11a	2024
974	Ndufa9	2024
975	Dync1li2	2024
976	Trmt112	2023
977	Clip3	2021
978	Edf1	2020
979	Bola2	2020
980	Bod1l	2020
981	Psmb4	2020
982	Glrb	2020
983	Rnf14	2019
984	Acsl3	2018
985	Fam133b	2018
986	Mgll	2018
987	Degs1	2017
988	Zfp445	2017
989	Scn8a	2016
990	Ssr1	2016
991	Eif4b	2015
992	Fubp1	2013
993	Rbbp4	2013
994	Atp6v0d1	2011
995	Ppig	2010
996	Rheb	2010
997	Pfn1	2010
998	Pum1	2008
999	Pten	2006
1000	Grin2b	2005
1001	Cript	2005
1002	Snrpe	2004
1003	Acat1	2003
1004	Gm21949	2003
1005	Banf1	2002
1006	Ubqln2	2002
1007	Ppp3cb	2001
1008	Dnmt3a	2000
1009	Usp9x	2000
1010	Ptges3	2000
1011	Akap11	2000
1012	Pfkp	1998
1013	Ube2i	1998
1014	Pdcd5	1998
1015	Apc	1998
1016	Atp2b2	1998
1017	Tef	1997
1018	Aurkaip1	1995
1019	Rpn1	1994
1020	Ap2m1	1993
1021	Gcc2	1992
1022	Ppp2r5c	1992
1023	Ybx1	1991
1024	Ndufs2	1991
1025	Tm9sf2	1991
1026	Stx7	1991
1027	Rab1	1990
1028	Tmx4	1990
1029	Aes	1988
1030	Sugt1	1988
1031	Mrpl41	1988
1032	Akap9	1988
1033	Slc35b1	1988
1034	Fermt2	1988
1035	Pcmt1	1987
1036	Chd3	1986
1037	Map2	1986
1038	Rangap1	1985
1039	Cdip1	1984
1040	Txndc17	1984
1041	Esd	1983
1042	Strbp	1983
1043	Atad1	1982
1044	Scamp5	1980
1045	Sf3b5	1980
1046	Arl2	1980
1047	Emc10	1979
1048	Snrpd3	1977
1049	Xrn2	1976
1050	Arpp21	1976
1051	B230219D22Rik	1976
1052	Gps1	1976
1053	Ift20	1976
1054	Uchl1	1975
1055	Chd6	1975
1056	Wdr1	1975
1057	Mapk10	1974
1058	Frrs1l	1974
1059	Sypl	1974
1060	Oxr1	1974
1061	Nrcam	1974
1062	Arglu1	1973
1063	Fam171b	1973
1064	Bmpr2	1973
1065	Armc1	1973
1066	Cx3cl1	1973
1067	Paics	1973
1068	Psenen	1973
1069	Stmn3	1973
1070	Gls	1972
1071	Psmd11	1972
1072	Cops5	1972
1073	Ilf2	1971
1074	Npepps	1970
1075	Gm5643_loc2	1970
1076	Ubxn4	1970
1077	Praf2	1969
1078	Klc1	1969
1079	Cds2	1968
1080	Pcbp4	1968
1081	Clu	1968
1082	Srp72	1968
1083	Smc1a	1967
1084	Thy1	1967
1085	Polr2f	1966
1086	Tmem33	1966
1087	Slc8a1	1966
1088	Psmd13	1965
1089	Polr2e	1965
1090	Sirpa	1965
1091	Laptm4a	1964
1092	Gpd2	1964
1093	Usp22	1964
1094	1110058L19Rik	1963
1095	Romo1	1963
1096	Camta1	1962
1097	Cacna2d1	1961
1098	Pld3	1960
1099	Foxp1	1959
1100	A730098P11Rik	1959
1101	Ccdc104	1958
1102	Fam21	1958
1103	6820431F20Rik	1958
1104	Ik	1957
1105	Cdk5	1957
1106	Ube2v2	1957
1107	Prrc2b	1957
1108	Lrp1	1957
1109	Caprin1	1957
1110	Hnrnpf	1956
1111	Nav1	1954
1112	Klhl2	1953
1113	Tmem9b	1953
1114	Tomm20	1953
1115	Prdx5	1952
1116	Nutf2-ps1	1950
1117	Gabrb2	1950
1118	Srcin1	1950
1119	Nono	1950
1120	Prdx6	1949
1121	Syn2	1948
1122	Cdk5r1	1947
1123	Dnajc19	1947
1124	Wbp11	1947
1125	Rpn2	1946
1126	Rb1cc1	1946
1127	Cacybp	1946
1128	Vti1b	1945
1129	Rrp1	1945
1130	Hars	1945
1131	Dlg4	1945
1132	Ankrd17	1944
1133	Plcb1	1944
1134	Mmd2	1944
1135	Exoc3	1944
1136	Dld	1943
1137	Ggnbp2	1943
1138	Tubb3	1943
1139	Jkamp	1942
1140	Ergic2	1942
1141	Ccni	1941
1142	Hectd1	1941
1143	Atp1b3	1940
1144	Abca2	1940
1145	Bpgm	1939
1146	Tmem147	1939
1147	Ube2w	1937
1148	Azin1	1936
1149	Rap1gds1	1936
1150	Oaz2	1936
1151	Lsmd1	1935
1152	Rps17	1935
1153	Gng10	1934
1154	Pls3	1934
1155	Nsfl1c	1934
1156	Smdt1	1934
1157	Pcsk2	1934
1158	Arhgef2	1933
1159	Gapdh	1933
1160	Kif3c	1933
1161	Usp33	1933
1162	Scap	1932
1163	Cmpk1	1932
1164	Rpl10	1932
1165	Cnot4	1931
1166	Mllt11	1931
1167	Map2k1	1930
1168	Cops3	1930
1169	Snap91	1929
1170	Lmo4	1929
1171	Qdpr	1929
1172	Mob4	1928
1173	Celsr2	1928
1174	Sirt2	1928
1175	Aak1	1928
1176	Napb	1927
1177	Ube3a	1927
1178	Lpgat1	1926
1179	Tmem106b	1924
1180	Tmem63b	1924
1181	Tardbp	1924
1182	Tubb4a	1923
1183	Pgm2l1	1922
1184	Pde4b	1922
1185	Kmt2c	1922
1186	Appl1	1921
1187	Gabra1	1920
1188	Bptf	1920
1189	Pkp4	1920
1190	Grm5	1920
1191	Chd5	1919
1192	Ube2k	1919
1193	Map7d1	1917
1194	Ppid	1917
1195	Anapc5	1916
1196	Sh3gl2	1916
1197	Tnks2	1915
1198	Marcks	1915
1199	Tuba4a	1915
1200	Smim15	1914
1201	Pcdh17	1913
1202	Atp1a3	1912
1203	Ap3d1	1912
1204	Gria3	1911
1205	Samd8	1911
1206	Zmynd8	1911
1207	Dnajc5	1911
1208	Usp14	1911
1209	Glod4	1910
1210	Brd2	1909
1211	Ssr2	1909
1212	Slc39a7	1909
1213	Churc1	1909
1214	Copg1	1908
1215	Ogdh	1908
1216	Myo5a	1907
1217	Prkaca	1906
1218	Nr3c1	1906
1219	Zfp207	1906
1220	Adap1	1906
1221	Ndn	1905
1222	Kmt2a	1905
1223	Dgkz	1904
1224	Ptprn	1904
1225	Celf5	1904
1226	Epha4	1903
1227	Pdpk1	1903
1228	Sod2	1903
1229	Mpc2	1902
1230	Birc6	1902
1231	Psip1	1902
1232	Ly6e	1901
1233	Npdc1	1901
1234	Psd3	1901
1235	Dusp3	1900
1236	Mapre2	1899
1237	Lamtor4	1899
1238	Stxbp1	1898
