Tspan12	Tshz1	Fnbp1l	Adamts15	Cldn12	Rxfp1	2310042E22Rik	Sema3c	Jam2	Apbb1ip	Frem2	BC005764	Deptor	C130030K03Rik	Klhl13	Tnfaip8l3	Ascl1	Atp1b2	Tmem132e	Prkar2b	Necab1	Nr2f2	Stmn1-rs1	Shisa9	Sub1	Vat1l	Pcdh18	Dpysl5	Cxcl14	Ptprf	Cers5	Nacc2	Cntnap2	Asic4	Tph2	Rit2	Scg2	Nr2e1	Bmp3	B3galnt1	Gm9846	Kcnn1	Fam19a2	Samd4	Stmn1	Egln3	Bmper	Cd200	1810041L15Rik	Rnf128
4	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	7	0	0	0	44	0	0	0	0	3	0	0	0	0	0	9	35	0	0	2	2	0	0	3	1	0	2	13	0	2
1	4	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	28	0	3	1	0	5	0	0	2	0	0	2	30	0	0	2	1	1	5	4	7	1	3	3	0	2
0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	9	0	0	0	70	0	0	1	0	1	0	2	2	0	1	1	7	0	0	3	1	0	5	0	2	3	0	2	0	4
0	0	2	0	1	0	0	12	0	0	0	0	0	1	0	0	2	9	0	1	2	0	0	0	20	0	0	0	0	0	0	0	3	0	0	4	7	0	0	4	1	0	0	0	10	0	0	2	0	3
0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	51	0	0	1	0	3	0	0	2	0	0	4	39	0	0	0	5	0	0	1	3	0	0	0	0	1
0	0	1	0	0	0	0	13	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	23	0	0	2	0	3	2	2	0	0	0	3	27	0	0	1	4	0	0	0	7	0	0	0	0	0
0	3	9	0	0	0	8	17	3	1	0	1	1	1	8	0	0	12	0	4	8	4	2	1	36	1	0	0	0	9	2	0	4	0	0	4	33	0	2	0	17	0	0	3	10	0	0	7	0	1
0	1	0	0	0	0	1	5	0	0	0	1	0	0	3	1	0	3	1	5	7	7	1	3	40	0	0	0	1	0	0	1	5	0	0	1	8	0	0	1	8	0	2	0	9	0	0	2	0	6
0	3	10	0	1	0	0	10	2	0	0	3	0	0	1	5	0	3	2	6	8	1	2	5	52	0	0	1	0	9	2	5	4	0	0	8	22	0	1	0	11	0	3	1	6	0	0	5	0	1
1	4	11	4	0	1	2	28	7	1	0	8	1	0	18	8	0	8	3	17	25	11	2	7	50	0	0	1	8	3	8	4	2	0	0	6	77	2	0	2	13	1	0	0	24	0	1	16	0	1
1	2	6	0	0	0	1	15	6	0	1	4	2	0	9	5	0	7	0	8	0	1	1	5	51	1	0	1	10	3	0	4	7	0	0	1	40	0	2	0	8	0	0	1	11	0	0	6	0	1
0	0	1	0	0	0	4	16	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	39	0	0	0	0	2	0	0	2	0	0	0	23	0	0	2	8	0	0	0	6	0	0	6	0	0
1	0	2	0	0	0	0	11	6	0	0	1	0	2	4	7	1	2	0	1	2	1	1	3	30	0	0	1	0	2	2	7	4	0	0	3	51	0	2	5	4	0	0	0	8	0	0	3	0	0
1	0	3	1	1	0	1	16	1	0	0	1	0	0	3	10	0	6	1	2	0	4	2	0	52	0	0	2	0	1	0	3	4	0	0	0	56	0	1	9	8	6	1	3	13	0	0	2	0	0
1	0	4	0	2	0	0	4	3	0	0	3	0	0	1	0	0	10	0	5	24	3	1	3	130	0	0	2	0	9	3	1	9	0	0	8	5	0	1	8	3	0	1	0	7	0	0	5	0	8
0	1	3	0	0	0	0	11	4	0	0	0	2	0	1	0	0	4	2	8	11	2	1	3	20	0	0	2	0	0	0	1	4	0	0	2	9	0	0	0	1	0	0	1	9	0	0	3	0	1
0	0	1	0	1	0	1	17	5	0	0	2	1	0	2	4	0	2	1	2	9	4	0	8	45	0	0	1	0	3	0	6	5	0	0	1	26	0	2	0	0	0	0	4	1	0	0	0	0	2
0	0	0	0	0	0	0	5	1	1	0	2	0	0	0	0	0	6	1	8	9	0	0	4	31	1	0	0	0	3	0	0	2	0	0	5	9	0	1	1	6	2	0	0	4	0	0	0	0	0
1	0	2	0	0	0	0	13	6	2	0	4	0	2	0	3	0	5	0	1	29	1	2	3	66	0	0	1	0	1	2	1	9	0	0	1	16	0	0	1	7	0	0	1	9	0	0	0	0	1
2	1	2	0	3	0	0	13	7	1	0	0	0	1	2	5	0	6	0	1	16	4	1	3	42	0	0	2	0	4	1	1	8	0	0	2	11	0	1	1	5	0	0	0	3	0	0	3	0	1
0	0	0	0	0	0	0	15	2	0	0	1	0	0	2	3	0	2	0	1	4	0	0	6	39	0	0	4	0	1	0	1	1	0	0	0	28	0	0	0	1	0	0	1	0	0	0	2	0	2
0	4	8	1	0	0	0	20	10	0	0	1	0	0	3	0	0	1	1	3	6	0	0	3	46	0	0	1	0	4	0	3	3	0	0	2	24	0	0	3	3	0	0	2	9	0	0	1	0	4
1	7	10	2	3	0	1	29	1	0	0	1	0	2	5	4	0	11	3	11	19	10	1	5	32	1	0	4	26	2	2	6	21	0	0	3	56	1	0	0	2	0	0	3	13	2	0	1	2	2
2	2	3	0	1	0	1	17	2	1	0	4	3	0	2	2	0	4	0	6	13	2	0	9	45	0	0	1	11	6	1	0	6	0	0	0	10	0	0	4	3	0	0	0	8	5	0	1	0	2
6	4	5	0	0	0	2	23	0	0	0	0	0	1	0	6	0	0	3	9	21	5	5	17	50	0	0	2	48	5	2	1	13	0	0	15	75	0	0	5	3	0	0	1	17	10	0	0	1	3
7	8	3	2	0	0	0	22	1	0	0	0	0	0	2	7	0	5	0	16	13	9	2	2	24	1	3	2	50	0	2	2	7	0	0	2	9	0	0	0	8	0	0	0	1	1	0	5	8	4
2	7	4	0	0	0	0	32	0	0	0	0	0	2	1	4	0	5	1	7	24	11	0	7	31	0	0	4	53	0	4	2	10	1	0	4	50	0	0	3	4	0	0	1	6	3	0	12	0	2
0	1	1	0	1	0	0	19	0	1	0	0	0	0	2	1	0	4	0	2	22	9	1	4	29	2	0	1	20	0	0	0	4	1	0	2	27	0	0	1	3	0	0	0	6	0	0	6	0	1
0	0	0	0	0	0	0	9	0	0	0	14	0	3	0	1	0	0	1	1	7	11	4	5	18	1	0	0	33	1	1	1	24	1	0	2	87	0	0	4	13	1	0	0	4	3	0	0	6	1
0	0	3	0	0	0	0	5	0	0	0	2	0	0	0	0	0	5	0	3	23	17	3	5	18	0	0	0	0	0	0	0	8	0	0	5	15	0	0	0	9	0	0	0	3	7	0	1	0	5
2	4	3	0	0	0	0	5	0	0	0	2	0	0	0	0	0	1	0	0	4	0	1	4	27	0	0	1	0	0	0	0	3	0	0	1	4	0	0	1	0	0	5	1	5	0	0	1	0	8
0	9	7	0	0	0	0	3	0	0	0	4	0	0	2	12	0	9	1	6	18	3	0	5	61	0	0	4	0	2	2	4	1	1	0	6	36	0	0	2	14	0	0	4	11	0	0	10	0	3
0	0	14	0	0	0	0	5	0	0	0	1	0	0	8	0	0	0	0	2	23	1	1	4	53	0	0	1	0	1	7	1	1	0	0	1	14	0	0	6	1	0	0	1	4	1	0	2	0	0
0	1	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	4	0	3	10	2	0	5	22	0	0	1	0	1	6	4	5	0	0	3	9	0	0	5	1	3	3	2	4	0	0	2	0	3
0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	11	17	7	1	4	39	0	0	0	13	4	4	3	2	0	0	0	2	0	0	0	2	0	0	1	4	0	0	1	0	0
0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	3	0	3	16	17	0	4	27	0	0	0	19	0	0	2	1	0	0	0	12	1	0	0	6	0	8	0	4	0	2	3	0	1
1	0	0	0	0	0	0	4	1	0	0	0	0	0	2	0	0	3	0	0	37	3	2	1	62	0	0	0	8	0	0	0	4	0	3	0	0	0	0	5	0	0	0	1	1	0	0	0	0	0
0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	4	0	3	0	15	0	0	1	7	4	0	1	4	0	0	3	14	1	0	3	1	0	0	3	27	0	2	3	2	3
0	6	4	0	1	0	0	38	0	0	0	4	1	0	0	13	0	8	3	2	24	3	2	15	58	0	0	2	3	8	3	0	7	0	0	6	32	0	1	0	5	0	0	0	10	7	1	6	2	5
0	1	1	0	1	0	0	0	0	0	0	3	0	0	2	1	0	3	0	0	13	2	0	0	30	0	0	0	11	4	1	5	9	1	0	3	4	0	0	5	4	3	6	0	16	0	2	1	0	1
0	0	12	0	3	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	31	4	0	2	61	0	0	4	12	4	8	2	4	0	0	2	10	0	0	2	8	0	0	2	3	2	0	5	0	1
1	2	1	0	0	0	0	22	3	0	0	1	0	0	2	5	0	3	1	4	11	3	0	8	38	0	0	3	0	2	8	2	4	0	0	4	91	0	0	7	21	0	0	1	12	15	0	1	0	3
0	0	5	0	0	0	0	41	0	0	0	0	1	1	4	0	0	15	2	11	25	1	1	9	36	0	1	1	28	3	0	0	28	0	0	1	67	0	0	3	9	0	0	4	16	0	0	4	0	8
0	1	2	0	0	0	0	37	1	0	0	3	0	0	0	10	0	6	0	3	31	9	1	10	51	0	0	1	17	4	12	1	5	0	0	1	28	0	2	0	14	0	0	1	7	1	0	9	2	0
0	0	0	0	0	0	0	16	2	0	0	1	1	0	12	3	0	2	2	9	21	3	1	4	32	0	2	1	50	9	4	0	4	1	0	0	74	0	1	2	2	0	0	1	8	7	0	3	2	1
0	0	0	0	0	0	0	25	8	0	0	0	3	0	5	2	0	7	1	2	15	2	2	5	41	0	0	0	23	1	2	0	6	4	0	6	35	0	0	4	8	0	0	0	9	0	0	6	0	0
1	0	5	1	0	1	0	66	28	0	1	2	0	0	15	4	0	8	3	20	42	10	1	25	72	0	0	3	84	1	2	0	27	1	0	5	119	0	1	9	10	0	0	10	25	17	1	3	0	11
0	0	7	0	0	0	0	30	5	0	0	1	1	0	7	1	0	3	1	24	43	3	3	12	64	0	0	1	29	2	5	2	10	3	4	13	79	3	1	3	6	0	0	3	8	7	0	2	0	2
0	4	1	0	1	0	0	14	3	1	0	2	1	2	8	2	0	3	4	9	37	11	0	3	36	0	0	1	65	3	3	5	5	1	0	4	89	5	0	1	3	0	1	0	10	2	0	4	0	1
0	1	5	1	6	0	0	23	6	0	0	4	0	0	9	11	0	1	1	17	9	11	1	7	49	0	0	1	48	3	0	6	7	3	0	1	32	2	0	4	9	1	0	0	17	4	0	1	2	2
3	0	8	2	2	5	4	43	12	2	0	8	1	1	13	3	0	4	2	12	31	7	2	19	89	0	1	6	76	8	5	6	13	0	1	9	82	1	0	3	1	0	1	2	17	15	0	8	1	7
13	0	5	2	1	0	7	39	4	2	0	3	0	4	8	21	0	3	4	11	42	15	7	10	92	0	0	9	20	4	2	14	14	2	2	9	55	0	3	9	10	0	0	3	13	16	0	1	2	4
2	4	0	0	0	0	0	0	0	0	0	0	0	0	8	30	0	2	0	11	25	21	3	0	19	4	0	5	24	5	2	5	6	1	0	9	4	0	0	5	1	1	0	0	7	2	0	3	0	0
1	1	6	1	0	3	3	11	1	0	0	6	0	2	5	11	0	4	2	10	20	16	3	7	40	0	2	1	12	2	3	2	12	0	0	3	7	0	0	4	8	0	0	2	18	1	0	1	1	1
2	0	4	1	1	2	6	52	3	0	1	5	0	1	5	22	0	8	2	9	10	42	2	12	30	0	1	4	27	13	5	9	18	3	0	3	54	6	3	3	9	0	0	3	13	7	1	9	5	0
1	1	0	0	0	0	2	5	3	0	0	0	0	0	5	4	0	2	3	8	16	12	1	5	30	3	1	2	36	2	2	1	3	2	0	5	9	3	0	3	3	0	3	3	13	4	3	5	6	3
0	2	5	0	0	0	0	12	4	7	0	2	3	1	5	9	1	8	2	11	40	45	1	12	61	6	2	5	72	6	0	10	9	4	1	15	41	4	1	10	3	1	0	2	20	8	2	8	14	7
3	2	10	2	2	2	5	40	7	3	1	0	2	5	14	32	3	7	6	26	17	51	1	16	64	1	2	0	67	6	8	14	20	4	2	4	34	4	1	5	3	0	3	8	38	3	2	9	11	2
2	11	7	2	5	0	0	62	6	3	1	5	8	5	19	13	1	16	6	16	44	44	7	13	53	9	4	13	134	6	5	18	12	15	0	12	114	0	0	13	9	2	12	5	13	8	2	12	2	11
0	6	0	0	0	0	1	16	2	5	0	0	6	2	9	10	0	7	1	7	21	32	1	16	61	0	3	4	72	2	4	3	11	5	1	11	37	6	0	8	7	1	4	1	6	9	2	6	3	2
0	0	3	1	1	0	6	9	2	1	1	4	3	0	4	6	0	7	4	15	16	15	1	7	37	4	1	1	46	4	7	7	12	6	2	7	57	1	0	10	12	0	2	5	4	12	0	10	3	2
2	6	16	0	1	2	14	29	18	8	2	2	4	2	22	3	0	6	3	27	38	53	5	18	48	2	2	4	103	7	3	20	17	2	0	13	116	2	2	4	4	0	11	4	19	16	0	5	3	9
1	9	2	0	1	2	4	28	3	2	0	4	2	0	9	7	1	7	2	10	31	21	0	7	33	1	0	0	46	2	2	4	3	0	0	4	53	0	1	3	2	0	5	2	15	11	0	7	0	5
0	1	6	1	0	2	1	9	1	0	0	3	2	0	5	2	1	12	2	3	16	20	6	13	73	1	3	1	52	5	1	3	3	0	1	2	83	0	2	2	8	0	3	4	11	13	1	6	0	1
0	3	3	0	1	2	6	10	4	1	1	6	2	0	15	7	0	7	6	12	26	33	2	6	53	0	1	2	62	8	2	3	6	4	0	3	38	0	0	1	2	0	1	4	4	7	0	7	0	10
2	4	3	0	2	1	0	12	7	5	0	4	4	0	5	17	0	5	1	8	50	22	5	13	38	0	11	5	59	3	1	10	10	2	0	9	39	3	0	1	8	1	3	2	10	18	0	0	0	3
3	3	3	0	0	0	2	10	7	1	0	2	2	1	1	1	1	5	0	7	14	10	0	5	18	0	1	2	68	0	1	0	6	3	0	4	19	0	0	3	5	0	0	1	7	2	0	1	0	2
6	6	10	3	0	0	0	1	2	2	0	6	4	0	1	6	0	6	0	8	16	12	0	9	33	0	0	0	67	1	0	0	2	2	0	0	16	0	0	0	1	0	0	0	4	2	0	0	0	0
0	10	2	0	0	0	3	6	1	1	1	0	3	2	8	5	0	7	0	8	15	10	0	4	45	2	1	1	21	7	2	6	1	3	0	9	46	0	0	3	3	4	0	3	8	2	1	6	0	4
1	6	2	2	3	2	9	12	2	3	2	0	5	0	16	1	0	6	3	6	15	14	0	2	57	0	6	1	43	3	3	1	8	1	2	7	78	1	2	3	5	0	2	4	6	13	0	1	0	7
5	1	0	1	0	0	0	18	2	1	0	2	7	6	12	5	1	7	2	8	26	13	2	0	36	0	1	1	72	2	2	0	6	2	0	0	38	0	3	5	13	0	3	3	15	8	0	13	0	3
0	2	2	0	0	0	6	32	1	4	0	6	0	2	7	2	1	8	1	7	16	27	2	10	55	2	8	6	76	4	2	1	4	3	2	9	85	8	0	8	8	0	4	4	10	4	1	1	10	3
0	3	4	2	0	2	3	21	9	0	0	6	3	2	26	10	0	2	1	29	55	6	0	19	67	0	3	1	86	1	5	11	11	6	0	11	49	1	0	5	10	0	1	5	17	20	0	7	0	11
1	0	7	0	0	1	3	6	3	2	4	3	2	1	7	2	0	6	1	13	11	30	4	11	19	1	3	1	31	4	0	2	10	2	0	4	21	0	1	2	6	1	1	0	14	1	0	4	0	1
1	3	6	0	2	6	4	11	3	2	1	4	3	4	12	0	0	5	2	14	24	13	3	5	31	1	1	0	41	7	11	3	13	2	1	4	51	0	0	2	5	0	5	2	7	0	1	2	0	3
4	12	5	3	3	1	4	18	1	1	3	2	2	4	15	5	8	18	2	10	28	22	2	4	65	2	1	5	38	8	4	10	12	4	0	12	72	1	0	13	18	0	2	4	12	3	1	9	11	9
0	4	2	1	1	1	2	12	6	3	0	4	2	3	16	7	0	2	3	11	11	26	3	7	49	0	4	7	84	3	3	8	6	0	1	10	58	1	1	1	12	1	1	1	12	0	1	3	0	2
4	1	2	0	1	5	7	9	3	0	0	0	0	0	9	0	0	3	0	4	5	4	1	2	36	0	0	1	37	1	1	6	8	0	0	3	44	0	0	2	10	0	0	1	12	0	0	11	0	6
0	6	20	0	2	0	8	33	3	5	2	8	1	0	16	6	1	14	2	29	21	28	1	6	45	2	2	4	18	2	11	13	15	2	0	11	83	5	0	8	9	0	0	2	19	1	0	6	0	4
1	2	1	0	0	0	3	9	0	0	0	7	0	0	7	2	0	6	0	9	13	27	1	2	16	0	0	1	33	0	1	4	1	0	0	0	29	1	0	5	9	0	0	1	13	0	3	6	4	0
0	2	8	0	0	2	1	9	0	0	1	5	0	0	9	1	0	4	2	6	18	10	5	4	38	0	0	1	29	1	3	6	6	0	0	1	36	1	0	2	5	0	1	1	12	0	0	9	3	3
0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	38	0	0	3	7	0	1	0	10	0	0	0	0	0
1	1	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	30	0	0	0	0	3	2	0	3	0	2	2	84	0	0	2	2	0	1	0	7	1	0	2	0	0
2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	19	0	5	0	1	0	6	0	0	0	0	1	86	2	0	0	11	0	0	3	6	0	0	2	0	0
5	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	47	0	1	1	0	1	0	0	2	0	0	17	58	0	1	1	15	0	0	2	24	0	0	1	0	0
0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	34	0	5	0	0	2	4	0	0	0	0	0	63	0	0	1	3	0	0	0	4	0	3	2	0	3
0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	1	1	0	0	0	0	29	0	2	2	0	3	3	3	1	0	0	4	10	0	0	6	1	0	0	0	5	0	1	3	0	2
5	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	24	0	4	0	0	0	1	6	1	0	0	3	95	0	1	9	9	0	1	1	13	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	15	0	1	0	0	1	1	0	0	0	0	1	21	0	0	0	2	0	0	1	2	0	0	5	0	1
0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	4	0	0	0	0	20	0	3	0	0	1	1	0	1	0	0	3	59	0	0	1	3	0	0	0	4	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	7	0	1	1	0	0	0	0	0	0	0	9	80	0	0	2	0	0	0	1	4	0	0	1	0	0
0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	0	1	0	1	0	2	0	0	13	1	0	0	0	4	5	3	1	0	0	3	26	0	0	0	1	0	0	1	3	0	0	3	0	0
0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	8	0	0	0	26	0	1	0	0	3	0	1	0	0	0	1	36	0	0	6	1	0	6	2	5	0	0	1	0	1
0	0	0	0	4	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	10	0	0	0	62	0	0	0	0	3	3	1	3	0	0	10	49	0	0	2	8	1	5	0	3	3	0	0	0	4
1	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	2	0	0	37	0	1	0	0	0	0	0	0	0	0	7	14	0	0	6	10	0	7	0	5	1	0	3	0	5
1	0	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0	3	1	0	5	1	0	0	49	0	0	1	0	4	2	0	1	0	0	9	44	0	0	1	2	1	0	0	7	0	0	6	1	1
0	3	0	0	2	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	1	0	22	0	0	0	0	2	2	1	2	0	0	9	37	0	0	5	1	0	5	3	6	1	5	9	0	1
0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	28	0	0	0	0	0	1	0	1	0	0	7	5	0	0	1	2	0	1	0	12	1	0	2	0	0
0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0	0	23	0	2	0	0	1	0	1	1	0	0	1	10	0	0	3	0	0	0	0	2	0	0	1	0	1
0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	2	0	0	0	2	24	0	0	1	0	0	0	2	6	0	0	2	2	0	0	2	4	0	0	0	11	0	0	3	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	1	7	1	0	0	22	0	3	1	0	0	3	0	1	0	0	10	26	0	0	0	1	0	1	1	10	0	0	5	0	0
0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	4	7	0	0	29	0	0	0	0	2	0	0	7	0	0	6	3	0	0	1	3	0	1	2	14	0	1	2	0	0
1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	1	0	0	27	0	1	2	0	1	2	0	4	0	0	9	6	0	2	3	2	0	1	1	11	0	0	2	0	1
0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	1	0	3	0	0	0	0	32	0	1	1	0	0	1	0	4	0	1	5	17	0	0	2	1	0	1	0	7	1	0	3	1	0
0	2	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	3	0	5	6	4	0	0	25	1	0	1	0	4	4	1	2	0	0	3	5	0	0	2	0	0	0	0	2	0	1	7	0	1
0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	9	0	0	24	0	0	1	0	0	0	0	1	0	0	2	9	0	0	2	2	0	0	0	6	0	0	3	2	1
0	0	0	0	0	0	0	0	0	0	0	3	1	0	3	0	0	4	0	0	3	20	0	0	16	3	0	2	0	4	1	9	6	0	0	7	23	0	0	5	1	0	2	0	9	0	3	6	2	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	6	0	0	5	0	0	0	27	1	2	0	0	6	1	0	1	0	0	7	25	0	0	5	8	0	6	0	7	0	0	5	0	1
1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	20	0	0	0	0	4	0	2	3	0	0	3	11	0	0	6	1	0	2	1	4	0	0	4	1	2
0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	2	1	1	5	5	1	1	16	0	0	0	1	2	4	5	1	0	0	2	8	0	0	0	2	0	0	1	4	0	1	3	0	2
1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	11	0	2	1	0	1	0	1	2	0	0	1	6	0	0	0	2	0	0	0	1	0	0	3	0	2
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	11	1	0	0	0	0	1	0	0	0	0	3	16	0	0	2	0	0	0	1	0	0	0	0	0	0
0	0	4	1	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	40	0	0	2	0	1	1	25	5	0	0	2	48	0	0	2	1	0	13	0	8	1	0	2	0	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	15	0	0	0	0	0	0	2	3	0	0	1	23	0	0	0	2	0	2	0	0	0	0	0	0	1
0	2	1	0	0	0	0	6	0	0	0	0	0	1	1	0	0	6	0	1	1	0	1	0	37	0	0	2	0	1	2	1	0	0	0	2	22	0	0	3	2	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	13	0	0	0	0	0	0	5	2	0	3	0	4	0	0	2	6	3	1	1	8	0	0	0	0	0
0	4	0	6	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	1	0	0	48	0	0	1	0	0	1	27	1	0	0	4	61	0	0	3	1	0	18	0	2	5	0	2	1	5
